id_lum;descricao_completa;potencia;temperatura;angulo;tamanho;fluxo;fonte;tensao;codigo;corpo_moldura;dimensao;luminaria;modelo;tipo;preco_corpo;preco_metro
200;Works micro EB;1W;2700K;11¡;¯44X37;121 lm;LED;220V;8205001;1;¯44;WORKS;MICRO;EMB;45;false
200;Works micro EB;1W;2700K;28¡;¯44X37;121 lm;LED;220V;8205002;1;¯44;WORKS;MICRO;EMB;45;false
200;Works micro EB;1W;2700K;45¡;¯44X37;121 lm;LED;220V;8205003;1;¯44;WORKS;MICRO;EMB;45;false
200;Works micro EB;1W;3000K;11¡;¯44X37;128 lm;LED;220V;8205004;1;¯44;WORKS;MICRO;EMB;45;false
200;Works micro EB;1W;3000K;28¡;¯44X37;128 lm;LED;220V;8205005;1;¯44;WORKS;MICRO;EMB;45;false
200;Works micro EB;1W;3000K;45¡;¯44X37;128 lm;LED;220V;8205006;1;¯44;WORKS;MICRO;EMB;45;false
200;Works micro EB;1W;4000K;11¡;¯44X37;135 lm;LED;220V;8205007;1;¯44;WORKS;MICRO;EMB;45;false
200;Works micro EB;1W;4000K;28¡;¯44X37;135 lm;LED;220V;8205008;1;¯44;WORKS;MICRO;EMB;45;false
200;Works micro EB;1W;4000K;45¡;¯44X37;135 lm;LED;220V;8205009;1;¯44;WORKS;MICRO;EMB;45;false
200;Works micro EB;2W;2700K;11¡;¯44X37;242 lm;LED;220V;8205010;1;¯44;WORKS;MICRO;EMB;45;false
200;Works micro EB;2W;2700K;28¡;¯44X37;242 lm;LED;220V;8205011;1;¯44;WORKS;MICRO;EMB;45;false
200;Works micro EB;2W;2700K;45¡;¯44X37;242 lm;LED;220V;8205012;1;¯44;WORKS;MICRO;EMB;45;false
200;Works micro EB;2W;3000K;11¡;¯44X37;255 lm;LED;220V;8205013;1;¯44;WORKS;MICRO;EMB;45;false
200;Works micro EB;2W;3000K;28¡;¯44X37;255 lm;LED;220V;8205014;1;¯44;WORKS;MICRO;EMB;45;false
200;Works micro EB;2W;3000K;45¡;¯44X37;255 lm;LED;220V;8205015;1;¯44;WORKS;MICRO;EMB;45;false
200;Works micro EB;2W;4000K;11¡;¯44X37;269 lm;LED;220V;8205016;1;¯44;WORKS;MICRO;EMB;45;false
200;Works micro EB;2W;4000K;28¡;¯44X37;269 lm;LED;220V;8205017;1;¯44;WORKS;MICRO;EMB;45;false
200;Works micro EB;2W;4000K;45¡;¯44X37;269 lm;LED;220V;8205018;1;¯44;WORKS;MICRO;EMB;45;false
